run_key,experiment,dataset_name,seed,setting_id,setting_name,model_name,label_noise,missing_rate,imbalance_level,corruption_order,noise_type,imputation_strategy,train_rows_after_corruption,test_rows,fit_eval_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall,auroc,auprc
imp__adult__seed0__clean__mean__LogisticRegression,imputation_ablation,adult,0,0,clean,LogisticRegression,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.1059,0.8252,0.6947439156221696,0.7203048919890457,0.8095787820858932,0.4677795238198741,0.4444444444444444,0.8493169552859272,0.9425285554987732
imp__adult__seed0__clean__mean__KNN,imputation_ablation,adult,0,0,clean,KNN,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,2.5679,0.8258,0.74236724689276,0.7514237483072699,0.8222919427903611,0.5046866097545609,0.5822890559732665,0.8430488747067071,0.9229239969203654
imp__adult__seed0__clean__mean__RandomForest,imputation_ablation,adult,0,0,clean,RandomForest,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,1.1059,0.8522,0.7688815122212578,0.7844625309255435,0.8474392859765724,0.5736819423328745,0.6090225563909775,0.9021238344348907,0.9648987417167714
imp__adult__seed0__clean__mean__HistGradientBoosting,imputation_ablation,adult,0,0,clean,HistGradientBoosting,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.4905,0.8658,0.7884125468373362,0.8046783010866232,0.8616261549901841,0.6139759539507833,0.6399331662489557,0.9197681951394394,0.9729765074696758
imp__adult__seed0__missing_only__mean__LogisticRegression,imputation_ablation,adult,0,2,missing_only,LogisticRegression,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.0803,0.8126,0.6655657682201823,0.6899194022096138,0.7915746129701055,0.4179775209127509,0.3834586466165413,0.8247419758968813,0.9329258479198514
imp__adult__seed0__missing_only__mean__KNN,imputation_ablation,adult,0,2,missing_only,KNN,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,3.2487,0.8062,0.6988554522426673,0.7128344167684786,0.7981766510376279,0.4322539896902295,0.4928989139515455,0.8225990517533206,0.9137726864920452
imp__adult__seed0__missing_only__mean__RandomForest,imputation_ablation,adult,0,2,missing_only,RandomForest,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,1.1655,0.8376,0.737243670135985,0.7566318422418068,0.8297951637112421,0.522749726656353,0.5446950710108605,0.8897799982469979,0.9600123143186085
imp__adult__seed0__missing_only__mean__HistGradientBoosting,imputation_ablation,adult,0,2,missing_only,HistGradientBoosting,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.5079,0.8532,0.7643866437062944,0.7829900121005242,0.8473244806188203,0.5730942042592599,0.5939849624060151,0.9076351365748933,0.9683565289993254
imp__adult__seed0__noise_missing__mean__LogisticRegression,imputation_ablation,adult,0,4,noise_missing,LogisticRegression,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.1178,0.8038,0.631443518077339,0.6525367051936518,0.7720250793268265,0.3726069819695018,0.3007518796992481,0.8203840743940665,0.930262926584899
imp__adult__seed0__noise_missing__mean__KNN,imputation_ablation,adult,0,4,noise_missing,KNN,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,3.3469,0.7494,0.6812667790081743,0.671988824688053,0.7550409131454157,0.3465382556814764,0.5505430242272348,0.7356590485768282,0.8682694948262981
