run_key,experiment,dataset_name,seed,setting_id,model_name,label_noise,missing_rate,imbalance_level,corruption_order,noise_type,imputation_strategy,train_rows_after_corruption,test_rows,fit_eval_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall,auroc,auprc
lgbm__adult__seed0__setting0__LightGBM,lightgbm_full,adult,0,0,LightGBM,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.4013,0.8642,0.7882194530062556,0.8032444212549111,0.860323198908415,0.61041036750542,0.6424394319131161,0.9198616666128464,0.9731609896371648
lgbm__adult__seed0__setting1__LightGBM,lightgbm_full,adult,0,1,LightGBM,0.0,0.0,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.3486,0.8642,0.7882194530062556,0.8032444212549111,0.860323198908415,0.61041036750542,0.6424394319131161,0.9198616666128464,0.9731609896371648
lgbm__adult__seed0__setting2__LightGBM,lightgbm_full,adult,0,2,LightGBM,0.0,0.0,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.3159,0.8644,0.7726079595517851,0.7960873309239156,0.8576017799951927,0.6032288228159041,0.5964912280701754,0.9179349021163656,0.9724157023135056
lgbm__adult__seed0__setting3__LightGBM,lightgbm_full,adult,0,3,LightGBM,0.0,0.0,0.9,noise_then_imbalance,symmetric,mean,12679,5000,0.298,0.8532,0.7062807777617415,0.7458008658008658,0.8319184484848485,0.5613101085043497,0.4243943191311612,0.9180082733786872,0.9724132303713996
lgbm__adult__seed0__setting4__LightGBM,lightgbm_full,adult,0,4,LightGBM,0.0,0.1,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.3914,0.8552,0.7705674036963739,0.7876533940261385,0.8500741228090758,0.5810159209636193,0.6081871345029239,0.9124989483086277,0.9706911602193588
lgbm__adult__seed0__setting5__LightGBM,lightgbm_full,adult,0,5,LightGBM,0.0,0.1,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.3135,0.8568,0.7739090912485878,0.7905533230177919,0.8519469361812466,0.5863971153974532,0.6148705096073517,0.9085025210936888,0.9689014805567676
lgbm__adult__seed0__setting6__LightGBM,lightgbm_full,adult,0,6,LightGBM,0.0,0.1,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.3538,0.8586,0.7587769274180279,0.7842640949237982,0.8502672869607937,0.5830768065544009,0.5672514619883041,0.9121520823708849,0.9704911784428332
lgbm__adult__seed0__setting7__LightGBM,lightgbm_full,adult,0,7,LightGBM,0.0,0.1,0.9,noise_then_imbalance,symmetric,mean,12679,5000,0.4287,0.8404,0.6806922205153518,0.7164252467100354,0.8141500522374545,0.5154072468956058,0.3742690058479532,0.9029948435819148,0.966789952996742
lgbm__adult__seed0__setting8__LightGBM,lightgbm_full,adult,0,8,LightGBM,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.3633,0.8552,0.7631252730827858,0.7839014456873892,0.8485964430894309,0.5768781795631951,0.5864661654135338,0.906654729557701,0.9682175785865714
lgbm__adult__seed0__setting9__LightGBM,lightgbm_full,adult,0,9,LightGBM,0.0,0.2,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.3655,0.851,0.7597918233220002,0.7789183021519113,0.8447133650563313,0.5656226921454142,0.5847953216374269,0.9064631734476872,0.9683364471357396
